date_unix,date_GMT,Country,League,Home Team,Away Team,Home Team Points Per Game (Pre-Match),Away Team Points Per Game (Pre-Match),Home Team Points Per Game (Current),Away Team Points Per Game (Current),Average Goals,BTTS Average,Over05 Average,Over15 Average,Over25 Average,Over35 Average,Over45 Average,Over05 FHG HT Average,Over15 FHG HT Average,Over05 2HG Average,Over15 2HG Average,Average Corners,Average Cards,Average Over 8.5 Corners,Average Over 9.5 Corners,Average Over 10.5 Corners,Match Status,Result - Home Team Goals,Result - Away Team Goals,Home Team Corners,Away Team Corners,Home Team Offsides,Away Team Offsides,Home Team Yellow Cards,Away Team Yellow Cards,Home Team Red Cards,Away Team Red Cards,Home Team Shots,Away Team Shots,Home Team Shots On Target,Away Team Shots On Target,Home Team Shots Off Target,Away Team Shots Off Target,Home Team Possession,Away Team Possession,Odds_Home_Win,Odds_Draw,Odds_Away_Win,Odds_Over15,Odds_Over25,Odds_Over35,Odds_Over45,Odds_BTTS_Yes,Odds_BTTS_No,Home Team Pre-Match xG,Away Team Pre-Match xG,Home Team xG,Away Team xG,Odds_Under05,Odds_Under15,Odds_Under25,Odds_Under35,Odds_Under45,Odds_DoubleChance_1x,Odds_DoubleChance_12,Odds_DoubleChance_x2,Odds_DrawNoBet_1,Odds_DrawNoBet_2,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115,Odds_Corners_Under75,Odds_Corners_Under85,Odds_Corners_Under95,Odds_Corners_Under105,Odds_Corners_Under115,Under05 Average,Under15 Average,Under25 Average,Under35 Average,Under45 Average,Odds_1st_Half_Over05,Odds_1st_Half_Over15,Odds_1st_Half_Over25,Odds_1st_Half_Under05,Odds_1st_Half_Under15,Odds_1st_Half_Under25,Odds_2nd_Half_Over05,Odds_2nd_Half_Over15,Odds_2nd_Half_Over25,Odds_2nd_Half_Under05,Odds_2nd_Half_Under15,Odds_2nd_Half_Under25,Odds_1st_Half_BTTS_Yes,Odds_1st_Half_BTTS_No,Odds_2nd_Half_BTTS_Yes,Odds_2nd_Half_BTTS_No,1H BTTS Average,Odds_Home_Team_Had_More_Corners,Odds_Both_Teams_Same_Corners,Odds_Away_Team_Had_More_Corners,Home Team Overall Points Per Game (Pre-Match),Away Team Overall Points Per Game (Pre-Match),Game Week,Match FootyStats URL
1755034200,Aug 12 2025 - 9:30pm,Paraguay,Copa Paraguay,1 de Enero,Nacional Asunción,0.00,0.00,0.00,3.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,complete,0,5,2,7,1,2,0,0,0,0,0,8,0,7,0,1,36,64,27.00,10.20,1.02,N/A,1.33,1.85,2.05,N/A,N/A,0.00,0.00,0.07,1.28,N/A,N/A,3.25,1.80,1.70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.00,0.00,0,/paraguay/club-nacional-vs-club-1-de-enero-h2h-stats#8179220
1755034200,Aug 12 2025 - 9:30pm,Esports,Esoccer Battle,Sporting (Boulevard),Rio Ave (Inquisitor),1.50,2.00,2.25,1.75,5.25,100,100,100,100,100,75,100,100,50,0,3.00,0.00,0,0,0,complete,6,4,6,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,N/A,N/A,N/A,1.25,2.00,0,/esports/rio-ave-inquisitor-vs-sporting-boulevard-h2h-stats#8184210
1755034200,Aug 12 2025 - 9:30pm,Esports,Esoccer Battle,Benfica (Kray),Braga (LaikingDast),0.00,0.50,0.75,1.00,3.50,75,100,75,75,75,25,100,75,75,0,2.00,0.00,0,0,0,complete,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,25,25,25,75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75,N/A,N/A,N/A,0.75,1.25,0,/esports/braga-laikingdast-vs-benfica-kray-h2h-stats#8184211
1755034320,Aug 12 2025 - 9:32pm,Esports,Esoccer Battle,Italy (v1nniePuh),Germany (tohi4),0.00,1.50,0.00,1.50,1.00,0,50,50,0,0,0,50,0,50,0,0.50,0.00,0,0,0,complete,2,5,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,50,50,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.00,1.50,0,/esports/germany-tohi4-vs-italy-v1nniepuh-h2h-stats#8184212
1755034320,Aug 12 2025 - 9:32pm,Esports,Esoccer Battle,France (maksdh),Spain (Samurai),3.00,0.00,1.75,1.00,3.75,75,100,100,75,75,25,75,50,75,0,1.50,0.00,0,0,0,complete,2,3,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,25,25,75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,1.50,1.75,0,/esports/france-maksdh-vs-spain-samurai-h2h-stats#8184213
1755034920,Aug 12 2025 - 9:42pm,Esports,Esoccer Battle,FC Porto (hotShot),Benfica (Kray),1.00,1.50,0.50,1.50,4.75,100,100,100,100,75,50,100,100,50,0,1.00,0.00,0,0,0,complete,1,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.63,3.00,2.25,N/A,N/A,N/A,2.20,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,1.57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,25,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,N/A,N/A,N/A,1.25,1.20,0,/esports/fc-porto-hotshot-vs-benfica-kray-h2h-stats#8184194
1755034920,Aug 12 2025 - 9:42pm,Esports,Esoccer Battle,Braga (LaikingDast),Sporting (Boulevard),2.00,1.00,2.00,1.50,4.25,100,100,100,75,50,50,100,75,50,0,2.50,0.00,0,0,0,complete,2,2,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.48,3.40,2.20,N/A,N/A,N/A,1.90,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,1.76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,25,50,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75,N/A,N/A,N/A,1.00,1.60,0,/esports/braga-laikingdast-vs-sporting-boulevard-h2h-stats#8184195
1755035040,Aug 12 2025 - 9:44pm,Esports,Esoccer Battle,Argentina (zoyir),Italy (v1nniePuh),1.50,0.00,1.50,1.00,2.75,50,100,75,50,25,25,75,25,25,0,3.00,1.00,0,0,0,complete,1,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.84,4.50,2.65,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,25,50,75,75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25,N/A,N/A,N/A,1.75,0.00,0,/esports/argentina-zoyir-vs-italy-v1nniepuh-h2h-stats#8184196
1755035040,Aug 12 2025 - 9:44pm,Esports,Esoccer Battle,Germany (tohi4),France (maksdh),1.50,0.00,1.00,1.50,4.50,100,100,100,100,75,25,100,100,50,0,3.00,0.00,0,0,0,complete,0,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.00,4.40,2.38,N/A,N/A,N/A,1.70,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,1.97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,25,75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75,N/A,N/A,N/A,1.80,1.20,0,/esports/france-maksdh-vs-germany-tohi4-h2h-stats#8184197
1755035100,Aug 12 2025 - 9:45pm,Mexico,Liga MX Femenil,Cruz Azul Women,Monterrey Women,1.50,1.80,2.00,1.50,3.15,0,100,75,75,55,10,0,0,0,0,13.10,0.00,55,45,25,complete,4,0,2,6,-1,-1,-1,-1,-1,-1,24,13,8,0,16,13,50,50,2.55,3.50,2.50,1.20,1.57,2.55,4.50,1.57,2.25,1.98,1.93,2.54,1.33,10.00,4.33,2.25,1.50,1.20,1.80,1.22,1.28,N/A,N/A,1.46,1.77,2.29,3.05,4.43,2.47,1.95,1.54,1.29,1.12,0,25,25,45,90,1.30,2.38,5.00,3.40,1.53,1.14,1.18,1.83,3.75,4.50,1.83,1.25,N/A,N/A,N/A,N/A,0,1.95,6.00,2.28,0.67,2.25,6,/mexico/cdsc-cruz-azul-women-vs-cf-monterrey-women-h2h-stats#7960634
