league,home_team,away_team,kickoff_sao_paulo,kickoff_paris,kickoff_utc,odds_1x2_home,odds_1x2_draw,odds_1x2_away,odds_btts_yes,odds_btts_no,odds_over_2_5,odds_under_2_5,vig_1x2,p_home_fair,p_draw_fair,p_away_fair,fair_odds_home,fair_odds_draw,fair_odds_away,vig_btts,p_btts_yes_fair,p_btts_no_fair,vig_ou_2_5,p_over_2_5_fair,p_under_2_5_fair,league_str,league_lower,is_low_vig_1x2,watch_btts,watch_over25,country
Copa Sudamericana,Bolívar,Cienciano,2025-08-13 19:00:00-03:00,2025-08-14 00:00:00+02:00,2025-08-13 22:00:00+00:00,1.28,5.5,7.2,1.57,2.25,1.5,2.25,0.102,0.709,0.165,0.126,1.41,6.06,7.93,0.081,0.589,0.411,0.111,0.6,0.4,Copa Sudamericana,copa sudamericana,True,False,True,International - CONMEBOL
Copa Libertadores,Cerro Porteño,Estudiantes,2025-08-13 19:00:00-03:00,2025-08-14 00:00:00+02:00,2025-08-13 22:00:00+00:00,2.49,2.87,2.7,2.05,1.7,2.35,1.6,0.12,0.358,0.311,0.331,2.79,3.22,3.03,0.076,0.453,0.547,0.051,0.405,0.595,Copa Libertadores,copa libertadores,True,False,False,International - CONMEBOL
Copa Argentina,Atlético Tucumán,Newell's Old Boys,2025-08-13 19:30:00-03:00,2025-08-14 00:30:00+02:00,2025-08-13 22:30:00+00:00,2.64,2.76,2.64,2.25,1.57,2.82,1.4,0.12,0.338,0.324,0.338,2.96,3.09,2.96,0.081,0.411,0.589,0.069,0.332,0.668,Copa Argentina,copa argentina,True,False,False,Argentina
Liga MX Femenil,León Women,Juárez W,2025-08-13 20:00:00-03:00,2025-08-14 01:00:00+02:00,2025-08-13 23:00:00+00:00,3.5,3.15,1.97,1.67,2.1,1.8,1.83,0.111,0.257,0.286,0.457,3.89,3.5,2.19,0.075,0.557,0.443,0.102,0.504,0.496,Liga MX Femenil,liga mx femenil,True,False,False,Mexico
Copa Rio,Portuguesa RJ,Resende,2025-08-13 20:00:00-03:00,2025-08-14 01:00:00+02:00,2025-08-13 23:00:00+00:00,1.75,2.68,4.92,1.93,1.67,2.16,1.61,0.148,0.498,0.325,0.177,2.01,3.08,5.65,0.117,0.464,0.536,0.084,0.427,0.573,Copa Rio,copa rio,False,False,False,National Cup (Unknown)
Canadian Championship,Forge FC,Vancouver Whitecaps,2025-08-13 20:00:00-03:00,2025-08-14 01:00:00+02:00,2025-08-13 23:00:00+00:00,3.05,3.77,1.91,1.67,2.08,1.8,1.98,0.117,0.294,0.238,0.469,3.41,4.21,2.13,0.08,0.555,0.445,0.061,0.524,0.476,Canadian Championship,canadian championship,True,False,False,England
US Open Cup,Philadelphia Union,New York RB,2025-08-13 20:30:00-03:00,2025-08-14 01:30:00+02:00,2025-08-13 23:30:00+00:00,1.33,4.33,5.75,1.75,2.01,1.87,2.3,0.157,0.65,0.2,0.15,1.54,5.01,6.65,0.069,0.535,0.465,-0.03,0.552,0.448,US Open Cup,us open cup,False,False,False,USA
Copa Colombia,Real Soacha,Deportes Tolima,2025-08-13 21:00:00-03:00,2025-08-14 02:00:00+02:00,2025-08-14 00:00:00+00:00,4.8,3.5,1.67,2.0,1.76,2.15,1.63,0.093,0.191,0.261,0.548,5.25,3.82,1.83,0.068,0.468,0.532,0.079,0.431,0.569,Copa Colombia,copa colombia,True,False,False,Colombia
CONCACAF Central American Cup,Sporting San Miguelito,Diriangén,2025-08-13 21:00:00-03:00,2025-08-14 02:00:00+02:00,2025-08-14 00:00:00+00:00,,,,,,,,-1.0,,,,,,,,,,,,,CONCACAF Central American Cup,concacaf central american cup,False,False,False,International - CONCACAF
CONCACAF Central American Cup,Sporting San Miguelito,Diriangén,2025-08-13 21:00:00-03:00,2025-08-14 02:00:00+02:00,2025-08-14 00:00:00+00:00,2.72,2.95,2.5,1.8,1.91,2.15,1.65,0.107,0.332,0.306,0.361,3.01,3.26,2.77,0.079,0.515,0.485,0.071,0.434,0.566,CONCACAF Central American Cup,concacaf central american cup,True,False,False,International - CONCACAF
Copa Libertadores,Flamengo,Internacional,2025-08-13 21:30:00-03:00,2025-08-14 02:30:00+02:00,2025-08-14 00:30:00+00:00,1.44,3.66,6.6,2.38,1.53,2.3,1.63,0.119,0.62,0.244,0.135,1.61,4.1,7.39,0.074,0.391,0.609,0.048,0.415,0.585,Copa Libertadores,copa libertadores,True,False,False,International - CONMEBOL
