league,home_team,away_team,kickoff_sao_paulo,kickoff_paris,kickoff_utc,odds_1x2_home,odds_1x2_draw,odds_1x2_away,odds_btts_yes,odds_btts_no,odds_over_2_5,odds_under_2_5,vig_1x2,p_home_fair,p_draw_fair,p_away_fair,fair_odds_home,fair_odds_draw,fair_odds_away,vig_btts,p_btts_yes_fair,p_btts_no_fair,vig_ou_2_5,p_over_2_5_fair,p_under_2_5_fair,league_str,league_lower,is_low_vig_1x2,watch_btts,watch_over25
Copa Paraguay,1 de Enero,Nacional Asunción,2025-08-12 18:30:00-03:00,2025-08-12 23:30:00+02:00,2025-08-12 21:30:00+00:00,27.0,10.2,1.02,,,1.33,3.25,0.1154684095860565,0.033203125,0.087890625,0.87890625,30.11764705882353,11.377777777777776,1.1377777777777778,,,,0.0595720069404279,0.7096069868995633,0.2903930131004367,Copa Paraguay,copa paraguay,True,False,True
Primera Categoría Serie B,Independiente Juniors,San Antonio,2025-08-12 19:00:00-03:00,2025-08-13 00:00:00+02:00,2025-08-12 22:00:00+00:00,2.07,3.3,3.1,,,1.89,1.8,0.1087027356312069,0.4357270636340404,0.2733197035522617,0.2909532328136979,2.295014662756598,3.658719027582983,3.436978480456742,,,,0.0846560846560846,0.4878048780487806,0.5121951219512195,Primera Categoria Serie B,primera categoria serie b,True,False,False
Copa Libertadores,Fortaleza,Vélez Sarsfield,2025-08-12 19:00:00-03:00,2025-08-13 00:00:00+02:00,2025-08-12 22:00:00+00:00,1.95,3.0,3.65,2.1,1.65,2.55,1.45,0.1201264488935722,0.4578237692066478,0.297585449984321,0.244590780809031,2.1842465753424656,3.360379346680717,4.088461538461539,0.0822510822510822,0.44,0.56,0.0818120351588911,0.3625,0.6375000000000001,Copa Libertadores,copa libertadores,False,False,False
Copa Sudamericana,Once Caldas,Huracán,2025-08-12 19:00:00-03:00,2025-08-13 00:00:00+02:00,2025-08-12 22:00:00+00:00,2.7,2.85,3.05,1.91,1.8,2.45,1.55,0.0491164158118428,0.3530307645446238,0.3344501979896436,0.3125190374657326,2.832614322691976,2.9899817850637525,3.1998050682261203,0.0791157649796394,0.4851752021563342,0.5148247978436657,0.0533245556287029,0.3875,0.6125,Copa Sudamericana,copa sudamericana,True,False,False
Serie B,CRB,Athletic Club,2025-08-12 19:30:00-03:00,2025-08-13 00:30:00+02:00,2025-08-12 22:30:00+00:00,2.23,2.95,3.35,2.1,1.73,2.48,1.5,0.0859210068075673,0.412949459916846,0.3121617951235819,0.2748887449595721,2.421603845180875,3.203466970082324,3.637835372805351,0.054225158271401,0.4516971279373368,0.5483028720626633,0.0698924731182795,0.3768844221105528,0.6231155778894473,Serie B,serie b,True,False,False
Copa Libertadores,Peñarol,Racing Club,2025-08-12 21:30:00-03:00,2025-08-13 02:30:00+02:00,2025-08-13 00:30:00+00:00,2.56,2.83,2.67,2.05,1.7,2.48,1.47,0.1185137256653565,0.3492357679988537,0.3159164544441928,0.3348477775569534,2.863395137703313,3.165393843632959,2.986431647526502,0.0760401721664276,0.4533333333333333,0.5466666666666666,0.0834979152951502,0.3721518987341772,0.6278481012658228,Copa Libertadores,copa libertadores,True,False,False
Copa Libertadores,Atlético Nacional,São Paulo,2025-08-12 21:30:00-03:00,2025-08-13 02:30:00+02:00,2025-08-13 00:30:00+00:00,2.03,2.91,3.52,2.2,1.62,2.43,1.49,0.1203443582131815,0.4396959147668494,0.3067294525693141,0.2535746326638364,2.274299047172758,3.2602020824003586,3.943612140910399,0.0718294051627383,0.4240837696335078,0.5759162303664922,0.0826635733421714,0.3801020408163265,0.6198979591836735,Copa Libertadores,copa libertadores,False,False,False
Copa Sudamericana,CSD Independiente del Valle,Mushuc Runa SC,2025-08-12 21:30:00-03:00,2025-08-13 02:30:00+02:00,2025-08-13 00:30:00+00:00,1.37,5.0,8.0,1.85,1.83,1.65,2.25,0.05492700729927,0.6919218128351496,0.189586576716831,0.1184916104480193,1.44525,5.27463503649635,8.43941605839416,0.0869886279722345,0.4972826086956521,0.5027173913043478,0.0505050505050506,0.5769230769230769,0.423076923076923,Copa Sudamericana,copa sudamericana,True,False,False
Copa Sudamericana,América de Cali,Fluminense,2025-08-12 21:30:00-03:00,2025-08-13 02:30:00+02:00,2025-08-13 00:30:00+00:00,2.95,3.1,2.6,1.95,1.73,2.5,1.53,0.0461790806241324,0.3240201005025125,0.3083417085427136,0.3676381909547739,3.086228287841191,3.2431551499348106,2.720065609622744,0.0908551949014377,0.4701086956521739,0.529891304347826,0.0535947712418301,0.3796526054590571,0.6203473945409429,Copa Sudamericana,copa sudamericana,True,False,False
CONCACAF Central American Cup,Antigua GFC,Plaza Amador,2025-08-12 23:00:00-03:00,2025-08-13 04:00:00+02:00,2025-08-13 02:00:00+00:00,,,,,,,,-1.0,,,,,,,,,,,,,CONCACAF Central American Cup,concacaf central american cup,False,False,False
CONCACAF Central American Cup,Águila,Hércules,2025-08-12 23:00:00-03:00,2025-08-13 04:00:00+02:00,2025-08-13 02:00:00+00:00,,,,,,,,-1.0,,,,,,,,,,,,,CONCACAF Central American Cup,concacaf central american cup,False,False,False
CONCACAF Central American Cup,Águila,Hércules,2025-08-12 23:00:00-03:00,2025-08-13 04:00:00+02:00,2025-08-13 02:00:00+00:00,1.33,4.7,6.0,,,1.5,2.5,0.1313123233615953,0.664608423086894,0.1880700431288444,0.1473215337842615,1.5046453900709218,5.317167919799498,6.787873940169572,,,,0.0666666666666666,0.625,0.375,CONCACAF Central American Cup,concacaf central american cup,False,False,True
CONCACAF Central American Cup,Antigua GFC,Plaza Amador,2025-08-12 23:00:00-03:00,2025-08-13 04:00:00+02:00,2025-08-13 02:00:00+00:00,1.95,3.3,3.27,,,1.72,2.07,0.1216612134043328,0.4571973307912297,0.2701620591039084,0.2726406101048617,2.187239366138449,3.701482004234298,3.667832167832169,,,,0.0644871362768229,0.5461741424802111,0.4538258575197889,CONCACAF Central American Cup,concacaf central american cup,False,False,False
